"","State_UT","fiscal_year","State_Govt","Central_Govt","Same_Gov","Population","I: DEVELOPMENTAL EXPENDITURE (A + B)","I: TAX REVENUE (A+B)","I.1: Development (a + b)","I.1.a.2: Medical and Public Health","I.1.a.6: Urban Development","I.1.b.2: Rural Development","I.1.b.10: General Economic Services (i + ii)","I.1.b.7.i: Roads and Bridges","I.6: WMA from RBI","I.A.1: Taxes on Income (i+ii)","I.A.3.i.a: Central Sales Tax","I.A.3.i.b: State Sales Tax/VAT","I.A.3.vii: State Goods and Services Tax","I.B: Share in Central Taxes (i to ix)","I.B.i: Central Goods and Services Tax (CGST)","I.B.iii: Income Tax","II: NON-DEVELOPMENTAL EXPENDITURE (General Services) (A to F)","II: NON-TAX REVENUE (C+D)","II.2: Central Plan Schemes","II.3: Centrally Sponsored Schemes","II.D.5.c.1: GST compensation","II.D.5.c.2: VAT compensation","II.D.5.c.3: Central sales tax compensation","Total: TOTAL EXPENDITURE (I+II+III)","Total: TOTAL REVENUE (I+II)"
"767","West Bengal","2008-2009","CPIM","Congress",0,91276,30410.26,25740.93,3561.62,153.61,41.34,0.85,45.65,334.08,9263.91,325.11,821.02,8122.1,0,11321.78,0,2331.28,20775.43,11163.47,0,0.26,0,0,0,51613.33,36904.4
"768","West Bengal","2009-2010","CPIM","Congress",0,91276,31737.82,28548.14,2853.76,212.65,17.21,2.64,19.54,616.7,9324.55,371.26,862.21,9638.48,0,11648.16,0,2670.28,26356.76,8373.51,0,0,0,0,0,58499.87,36921.65
"769","West Bengal","2010-2011","CPIM","Congress",0,91276,35433.61,37083.69,2118.89,187.17,43.86,1.82,7.43,567.21,19979.88,404.4,1059.19,12214.16,0,15954.95,0,3295.48,28680.42,10180.5,0,0,0,0,0,64538.19,47264.19
"770","West Bengal","2011-2012","TMC","Congress",0,91276,40532.9,43525.97,2641.48,393.68,94.54,0.75,12.83,668.87,20005.41,437.56,1361.1,14526.68,0,18587.81,0,3716.37,32288.97,15229.07,0,49.84,0,0,0,73326.37,58755.04
"771","West Bengal","2012-2013","TMC","Congress",0,91276,46254.51,54034.76,4384.82,118.01,84.34,1.01,107.7,1361.32,15693.2,460.21,1357.94,17196.51,0,21226.27,0,4564.7,35325.09,14260.99,0,0,0,0,0,82110.88,68295.75
"772","West Bengal","2013-2014","TMC","Congress",0,91276,50345.24,59005.58,6619.5,572.51,74.05,0.5,49.35,1473.49,20017.6,482.89,1469.38,20461.48,0,23175.02,0,5132.09,40833.88,13876.21,0,0,0,0,0,91797.27,72881.79
"773","West Bengal","2014-2015","TMC","BJP",0,91276,60312.53,64006.91,9459.0437,1065.1468,1007.2317,0.5,62.156587,1262.2697,19380.86,474.9585,1547.0979,22473.776,0,24594.946,0,6133.0813,42712.32,22507.298,0,0,0,0,0,103651.61,86514.209
"774","West Bengal","2015-2016","TMC","BJP",0,91276,72362.0495,79656.00719,11715.0087,1838.9007,809.3219,29.9435,54.2566,1971.6862,11139.4067,493.352,1899.3739,24150.75436,0,37163.9315,0,8128.54,45689.3078,30076.1946,0,0,0,0,0,118827.2715,109732.2018
"775","West Bengal","2016-2017","TMC","BJP",0,91276,83222.4317,90091.62189,10482.7689,1241.5399,1418.4421,6.9233,72.3294,1886.5059,1207.7,515.6543,2436.127942,7231.34327,0,44625.16,0,9948.25,50130.6838,27740.82841,0,0,0,0,0,133917.5612,117832.4503
"776","West Bengal","2017-2018","TMC","BJP",0,91276,88172.7994,102041.6718,18365.209,930.9216,2364.7097,1775.8341,57.9519,3527.6275,5394.87,536.335,1036.9393,11963.66541,19943.9005,44340.94,700.88,12756.68,52416.18123,29228.71397,0,0,1608,0,79.64,141077.363,131270.3858
"777","West Bengal","2018-2019","TMC","BJP",0,91276,99019.7802,116507.9961,22790.339,1237.458,1905.9872,2575.6862,107.611,5059.0783,25004.58874,561.7012,705.477125,7107.525677,28165.7997,54677.12,13766.59,14285.01,56865.39417,29467.2522,0,0,1977,0,0,156373.9074,145975.2483
"778","West Bengal","2019-2020","TMC","BJP",0,91276,100194.0821,108717.7711,15222.4168,557.4992,1820.5779,356.2483,60.576,4127.6361,15859.8084,589.3664628,387.0991332,6774.06962,27307.5246,48048.4,13634.8,12836.82,61931.3063,34196.44035,0,0,4358.7397,0,0,162575.117,142914.2114
"779","West Bengal","2020-2021","TMC","BJP",0,91276,106787.5067,105024.2454,12488.146,903.3089,1499.7255,1914.9242,90.204,3046.7233,8154.69,597.0797,464.9699,8928.8742,26013.4063,44737.01,13281.52,13849.46,70684.2771,43369.71987,0,0,NA,NA,NA,177921.284,148393.9653
"780","West Bengal","2021-2022","TMC","BJP",0,91276,131309.8891,136622.5986,16939.2435,1090.5718,1956.4982,481.6528,104.0734,4079.3138,193.36,664.566,1019.644177,8930.969766,31271.0659,65540.75,19024.77,19790.65,78495.37083,41536.74853,0,0,NA,NA,NA,210159.6403,178159.3471
"781","West Bengal","2022-2023","TMC","BJP",0,91276,147000.4844,140783.14,31715.5479,2263.4898,4047.8175,2709.255,301.4499,4164.8239,30000,651.72,449.999,9650,36114,61436.54,20172.77,18526.55,78809.3106,57263.8709,0,0,NA,NA,NA,226326.6811,198047.0109
"782","West Bengal","2023-2024","TMC","BJP",0,91276,157406.1659,165439.0869,32548.1284,2887.1259,3754.3799,2202.905,312.0499,4927.6809,30000,766.5387,607.5766,13289.9817,37791.8564,76843.55,24847.59,23927.6,84798.6078,47197.9414,0,0,NA,NA,NA,243561.1216,212637.0283
